mode,status,delay_us,quantizer,new_rate,skipped
Conventional,SENT,1544,9,906,0
Conventional,SENT,222,3,6306,0
Conventional,SENT,1806,37,775,0
Conventional,SENT,492,18,2845,0
Conventional,SENT,2902,127,482,0
Conventional,SENT,1518,124,922,0
Conventional,SENT,366,36,3825,0
Conventional,SENT,486,42,2880,0
Conventional,SENT,223,15,6278,0
Conventional,SENT,456,33,3070,0
Conventional,SENT,199,13,7035,0
Conventional,SENT,450,33,3111,0
Conventional,SENT,490,47,2857,0
Conventional,SENT,394,38,3553,0
Conventional,SENT,118,11,11864,0
Conventional,SENT,421,48,3325,0
Conventional,SENT,443,81,3160,0
Conventional,SENT,371,72,3773,0
Conventional,SENT,358,67,3910,0
Conventional,SENT,388,73,3608,0
Conventional,SENT,565,122,2477,0
Conventional,SENT,216,38,6481,0
Conventional,SENT,284,46,4929,0
Conventional,SENT,271,45,5166,0
Conventional,SENT,311,53,4501,0
Conventional,SENT,467,94,2997,0
Conventional,SENT,300,59,4666,0
Conventional,SENT,604,127,2317,0
Conventional,SENT,2419,127,578,0
Conventional,SENT,490,37,2857,0
Conventional,SENT,317,17,4416,0
Conventional,SENT,434,22,3225,0
Conventional,SENT,10,6,140000,0
Conventional,SENT,240,127,5833,0
Conventional,SENT,725,127,1931,0
Conventional,SENT,465,127,3010,0
Conventional,SENT,263,81,5323,0
Conventional,SENT,463,127,3023,0
Conventional,SENT,84,37,16666,0
Conventional,SENT,285,127,4912,0
Conventional,SENT,66,37,21212,0
Conventional,SENT,238,127,5882,0
Conventional,SENT,188,127,7446,0
Conventional,SENT,162,107,8641,0
Conventional,SENT,242,127,5785,0
Conventional,SENT,65,37,21538,0
Conventional,SENT,365,127,3835,0
Conventional,SENT,244,127,5737,0
Conventional,SENT,370,127,3783,0
Conventional,SENT,110,37,12727,0
Conventional,SENT,449,127,3118,0
Conventional,SENT,187,68,7486,0
Conventional,SENT,468,127,2991,0
Conventional,SENT,167,43,8383,0
Conventional,SENT,453,127,3090,0
Conventional,SENT,148,39,9459,0
Conventional,SENT,291,81,4810,0
Conventional,SENT,393,127,3562,0
Conventional,SENT,380,127,3684,0
Conventional,SENT,320,102,4375,0
Conventional,SENT,507,127,2761,0
Conventional,SENT,1845,127,758,0
Conventional,SENT,140,37,10000,0
Conventional,SENT,516,127,2713,0
Conventional,SENT,169,45,8284,0
Conventional,SENT,220,54,6363,0
Conventional,SENT,979,127,1430,0
Conventional,SENT,232,38,6034,0
Conventional,SENT,64,11,21875,0
Conventional,SENT,244,52,5737,0
Conventional,SENT,343,127,4081,0
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
S2,SKIPPED,,,,1
